Exact_Count,Estimator_1,Estimator_2,Estimator_3,Estimator_4,Estimator_5,Average_Estimator
408,127,1023,255,127,255,357.4
409,127,1023,255,127,255,357.4
410,127,1023,255,127,255,357.4
411,127,1023,255,127,255,357.4
412,127,1023,255,127,255,357.4
413,127,1023,255,127,255,357.4
414,127,1023,255,127,255,357.4
415,127,1023,255,127,255,357.4
416,127,1023,255,127,255,357.4
417,127,1023,255,127,255,357.4
418,127,1023,255,127,255,357.4
419,127,1023,255,127,255,357.4
420,127,1023,255,127,255,357.4
421,127,1023,255,127,255,357.4
422,127,1023,255,127,255,357.4
423,127,1023,255,127,255,357.4
424,127,1023,255,127,255,357.4
425,127,1023,255,127,255,357.4
426,127,1023,255,127,255,357.4
427,127,1023,255,127,255,357.4
428,127,1023,255,127,255,357.4
429,127,1023,255,127,255,357.4
430,127,1023,255,127,255,357.4
431,127,1023,255,127,255,357.4
432,127,1023,255,127,255,357.4
433,127,1023,255,127,255,357.4
434,127,1023,255,127,255,357.4
435,127,1023,255,127,255,357.4
436,127,1023,255,127,255,357.4
437,255,1023,255,127,255,383
438,255,1023,255,127,255,383
439,255,1023,255,127,255,383
440,255,1023,255,127,255,383
441,255,1023,255,127,255,383
442,255,1023,255,127,255,383
443,255,1023,255,127,255,383
444,255,1023,255,127,255,383
445,255,1023,255,127,255,383
446,255,1023,255,127,255,383
447,255,1023,255,127,255,383
448,255,1023,255,127,255,383
449,255,1023,255,127,255,383
450,255,1023,511,127,255,434.2
451,255,1023,511,127,255,434.2
452,255,1023,511,127,255,434.2
453,255,1023,511,127,255,434.2
454,255,1023,511,127,255,434.2
455,255,1023,511,127,255,434.2
456,255,1023,511,127,255,434.2
457,255,1023,511,127,255,434.2
458,255,1023,511,127,255,434.2
459,255,1023,511,127,255,434.2
460,255,1023,511,127,255,434.2
461,255,1023,511,127,255,434.2
462,255,1023,511,127,255,434.2
463,255,1023,511,127,255,434.2
464,255,1023,511,127,255,434.2
465,255,1023,511,127,255,434.2
466,255,1023,511,127,255,434.2
467,255,1023,511,127,255,434.2
468,255,1023,511,127,255,434.2
469,255,1023,511,127,255,434.2
470,255,1023,511,127,255,434.2
471,255,1023,511,127,255,434.2
472,255,1023,511,127,255,434.2
473,255,1023,511,127,255,434.2
474,255,1023,511,127,255,434.2
475,255,1023,511,127,255,434.2
476,255,1023,511,127,255,434.2
477,255,1023,511,127,255,434.2
478,255,1023,511,127,255,434.2
479,255,1023,511,127,255,434.2
480,255,1023,511,127,255,434.2
481,255,1023,511,127,255,434.2
482,255,1023,511,127,255,434.2
483,255,1023,511,127,255,434.2
484,255,1023,511,127,255,434.2
485,255,1023,511,127,255,434.2
486,255,1023,511,127,255,434.2
487,255,1023,511,127,255,434.2
488,255,1023,511,127,255,434.2
489,255,1023,511,127,255,434.2
490,255,1023,511,127,255,434.2
491,255,1023,511,127,255,434.2
492,255,1023,511,127,255,434.2
493,255,1023,511,127,255,434.2
494,255,1023,511,127,255,434.2
495,255,1023,511,127,255,434.2
496,255,1023,511,127,255,434.2
497,255,1023,511,127,255,434.2
498,255,1023,511,127,255,434.2
499,255,1023,511,127,255,434.2
500,255,1023,511,127,255,434.2
501,255,1023,511,127,255,434.2
502,255,1023,511,127,255,434.2
503,255,1023,511,127,255,434.2
504,255,1023,511,127,255,434.2
505,255,1023,511,127,255,434.2
506,255,1023,511,127,255,434.2
507,255,1023,511,127,255,434.2
508,255,1023,511,127,255,434.2
509,255,1023,511,127,255,434.2
510,255,1023,511,127,255,434.2
511,255,1023,511,127,255,434.2
512,511,1023,511,127,255,485.4
513,511,1023,511,127,255,485.4
514,511,1023,511,127,255,485.4
515,511,1023,511,127,255,485.4
