Exact_Count,Estimator_1,Estimator_2,Estimator_3,Estimator_4,Estimator_5,Estimator_6,Estimator_7,Estimator_8,Estimator_9,Estimator_10,Average_Estimator
274,255,127,127,63,255,511,511,255,255,127,248.6
275,255,127,127,63,255,511,511,255,255,127,248.6
276,255,127,127,63,255,511,511,255,255,127,248.6
277,255,127,127,63,255,511,511,255,255,127,248.6
278,255,127,127,63,255,511,511,255,255,127,248.6
279,255,127,127,63,255,511,511,255,255,127,248.6
280,255,127,127,63,255,511,511,255,255,127,248.6
281,255,127,127,63,255,511,511,255,255,127,248.6
282,255,127,127,63,255,511,511,255,255,127,248.6
283,255,127,127,63,255,511,511,255,255,127,248.6
284,255,127,127,63,255,511,511,255,255,127,248.6
285,255,127,127,63,255,511,511,255,255,255,261.4
286,255,127,127,63,255,511,511,255,255,255,261.4
287,255,127,127,63,255,511,511,255,255,255,261.4
288,255,127,127,127,255,511,511,255,255,255,267.8
289,255,127,127,127,255,511,511,255,255,255,267.8
290,255,127,127,127,255,511,511,255,255,255,267.8
291,255,127,127,127,255,511,511,255,255,255,267.8
292,255,127,127,127,255,511,511,255,255,255,267.8
293,255,127,127,127,255,511,511,255,255,255,267.8
294,255,127,127,127,255,511,511,255,255,255,267.8
295,255,127,127,127,255,511,511,255,255,255,267.8
296,255,127,127,127,255,511,511,255,255,255,267.8
297,255,127,127,127,255,511,511,255,255,255,267.8
298,255,127,127,127,255,511,511,255,255,255,267.8
299,255,127,127,127,255,511,511,255,255,255,267.8
300,255,127,127,127,255,511,511,255,255,255,267.8
301,255,127,127,127,255,511,511,255,255,255,267.8
302,255,127,127,127,255,511,511,255,255,255,267.8
303,255,127,127,127,255,511,511,255,255,255,267.8
304,255,127,127,127,255,511,511,255,255,255,267.8
305,255,127,127,127,255,511,511,255,255,255,267.8
306,255,127,127,127,255,511,511,255,255,255,267.8
307,255,127,127,127,255,511,511,255,255,255,267.8
308,255,127,127,127,255,511,511,255,255,255,267.8
309,255,127,127,127,255,511,511,255,255,255,267.8
310,255,127,127,127,255,511,511,255,255,255,267.8
311,255,127,127,127,255,511,511,255,255,255,267.8
312,255,127,127,127,255,511,511,255,255,255,267.8
313,255,127,127,127,255,511,511,255,255,255,267.8
314,255,127,127,127,255,511,511,255,255,255,267.8
315,255,127,127,127,255,511,511,255,255,255,267.8
316,255,127,127,127,255,511,511,255,255,255,267.8
317,255,127,127,127,255,511,511,255,255,255,267.8
318,255,127,127,127,255,511,511,255,255,255,267.8
319,255,127,127,127,255,511,511,255,255,255,267.8
320,255,127,127,127,255,511,511,255,255,255,267.8
321,255,127,127,127,255,511,511,255,255,255,267.8
322,255,127,127,127,255,511,511,255,255,255,267.8
323,255,127,127,127,255,511,511,255,255,255,267.8
324,255,127,127,127,255,511,511,255,255,255,267.8
325,255,127,127,127,255,511,511,255,255,255,267.8
326,255,127,127,127,255,511,511,255,255,255,267.8
327,255,127,127,127,255,511,511,255,255,255,267.8
328,255,127,127,127,255,511,511,255,255,255,267.8
329,255,127,127,127,255,511,511,255,255,511,293.4
330,255,127,127,127,255,511,511,255,255,511,293.4
331,255,127,127,127,255,511,511,255,255,511,293.4
332,255,127,127,127,255,511,511,255,255,511,293.4
333,255,127,127,127,255,511,511,255,255,511,293.4
334,255,127,127,127,255,511,511,255,255,511,293.4
335,255,127,127,127,255,511,511,255,255,511,293.4
336,255,127,127,127,255,511,511,255,255,511,293.4
337,255,127,127,127,255,511,511,255,255,511,293.4
338,255,127,127,127,255,511,511,255,255,511,293.4
339,255,127,127,127,255,511,511,255,255,511,293.4
340,255,127,127,127,255,511,511,255,255,511,293.4
341,255,127,127,127,255,511,511,255,255,511,293.4
342,255,127,127,127,255,511,511,255,255,511,293.4
343,255,127,127,127,255,511,511,255,255,511,293.4
344,255,127,127,127,255,511,511,255,255,511,293.4
345,255,127,127,127,255,511,511,255,255,511,293.4
346,255,127,127,127,255,511,511,255,255,511,293.4
347,255,127,127,127,255,511,511,255,255,511,293.4
348,255,127,127,127,255,511,511,255,255,511,293.4
349,255,127,127,127,255,511,511,255,255,511,293.4
350,255,127,127,127,255,511,511,255,255,511,293.4
351,255,127,127,127,255,511,511,255,255,511,293.4
352,255,127,127,127,255,511,511,255,255,511,293.4
353,255,127,127,127,255,511,511,255,255,511,293.4
354,255,127,127,127,255,511,511,255,255,511,293.4
355,255,127,127,127,255,511,511,255,255,511,293.4
356,255,127,127,127,255,511,511,255,255,511,293.4
357,255,127,127,127,255,511,511,255,255,511,293.4
358,255,127,127,127,255,511,511,255,255,511,293.4
359,255,127,127,127,255,511,511,255,255,511,293.4
360,255,127,127,127,255,511,511,255,255,511,293.4
361,255,127,127,127,255,511,511,255,255,511,293.4
362,255,127,127,127,255,511,511,255,255,511,293.4
363,255,127,127,127,255,511,511,255,255,511,293.4
364,255,127,127,127,255,511,511,255,255,511,293.4
365,255,127,127,127,255,511,511,255,255,511,293.4
366,255,255,127,127,255,511,511,255,255,511,306.2
367,255,255,127,127,255,511,511,255,255,511,306.2
368,255,255,127,127,255,511,511,255,255,511,306.2
369,255,255,127,127,255,511,511,255,255,511,306.2
370,255,255,127,127,255,511,511,255,255,511,306.2
371,255,255,127,127,255,511,511,255,255,511,306.2
372,255,255,127,127,255,511,511,255,255,511,306.2
373,255,255,127,127,255,511,511,255,255,511,306.2
374,255,255,127,127,255,511,511,255,255,511,306.2
375,255,255,127,127,255,511,511,255,255,511,306.2
376,255,255,127,127,255,511,511,255,255,511,306.2
377,255,255,127,127,255,511,511,255,255,511,306.2
378,255,255,127,127,255,511,511,255,255,511,306.2
379,255,255,127,127,255,511,511,255,255,511,306.2
380,255,255,127,127,255,511,511,255,255,511,306.2
381,255,255,127,127,255,511,511,255,255,511,306.2
382,255,255,127,127,255,511,511,255,255,511,306.2
383,255,255,127,127,255,511,511,255,255,511,306.2
384,255,255,127,127,255,511,511,255,255,511,306.2
385,255,255,127,127,255,511,511,255,255,511,306.2
386,255,255,127,127,255,511,511,255,255,511,306.2
387,255,255,127,127,255,511,511,255,255,511,306.2
388,255,255,127,127,255,511,511,255,255,511,306.2
389,255,255,127,127,255,511,511,255,255,511,306.2
390,255,255,127,127,255,511,511,255,255,511,306.2
391,255,255,127,127,255,511,511,255,255,511,306.2
392,255,255,127,127,255,511,511,255,255,511,306.2
393,255,255,127,127,255,511,511,255,255,511,306.2
394,255,255,127,127,255,511,511,255,255,511,306.2
395,255,255,127,127,255,511,511,255,255,511,306.2
396,255,255,127,127,255,511,511,255,255,511,306.2
397,255,255,127,127,255,511,511,255,255,511,306.2
398,255,255,127,127,255,511,511,255,255,511,306.2
399,255,255,127,127,255,511,511,255,255,511,306.2
400,255,255,127,127,255,511,511,255,255,511,306.2
401,255,255,127,127,255,511,511,255,255,511,306.2
402,255,255,127,127,255,511,511,255,255,511,306.2
403,255,255,127,127,255,511,511,255,255,511,306.2
404,255,255,127,127,255,511,511,255,255,511,306.2
405,255,255,127,127,255,511,511,255,255,511,306.2
406,255,255,127,127,255,511,511,255,255,511,306.2
407,255,255,127,127,255,511,511,255,255,511,306.2
408,255,255,127,127,255,511,511,255,255,511,306.2
409,255,255,127,127,255,511,511,255,255,511,306.2
410,255,255,127,127,255,511,511,255,255,511,306.2
411,255,255,127,127,255,511,511,255,255,511,306.2
412,255,255,127,127,255,511,511,255,255,511,306.2
413,255,255,127,127,255,511,511,255,255,511,306.2
414,255,255,127,127,255,511,511,255,255,511,306.2
415,255,255,127,127,255,511,511,255,255,511,306.2
416,255,255,127,127,255,511,511,255,255,511,306.2
417,255,255,127,127,255,511,511,255,255,511,306.2
418,255,255,127,127,255,511,511,255,255,511,306.2
419,255,255,127,127,255,511,511,255,255,511,306.2
420,255,255,127,127,255,511,511,255,255,511,306.2
421,255,255,127,127,255,511,511,255,255,511,306.2
422,255,255,127,127,255,511,511,255,255,511,306.2
423,255,255,127,127,255,511,511,255,255,511,306.2
424,255,255,127,127,255,511,511,255,255,511,306.2
425,255,255,127,127,255,511,511,255,255,511,306.2
426,255,255,127,127,255,511,511,255,255,511,306.2
427,255,255,127,127,255,511,511,255,255,511,306.2
428,255,255,127,127,255,511,511,255,255,511,306.2
429,255,255,127,127,255,511,511,255,255,511,306.2
430,255,255,127,127,255,511,511,255,255,511,306.2
431,255,255,127,127,255,511,511,255,255,511,306.2
432,255,255,127,127,255,511,511,255,255,511,306.2
433,255,255,127,127,255,511,511,255,255,511,306.2
434,255,255,127,127,255,511,511,255,255,511,306.2
435,255,255,127,127,255,511,511,255,255,511,306.2
436,255,255,127,127,255,511,511,255,255,511,306.2
437,255,255,127,127,255,511,511,255,255,511,306.2
438,255,255,127,127,255,511,511,255,255,511,306.2
439,255,255,127,127,255,511,511,255,255,511,306.2
440,255,255,127,127,255,511,511,255,255,511,306.2
