Exact_Count,Estimator_1,Estimator_2,Estimator_3,Estimator_4,Estimator_5,Estimator_6,Estimator_7,Estimator_8,Estimator_9,Estimator_10,Estimator_11,Estimator_12,Estimator_13,Estimator_14,Estimator_15,Estimator_16,Estimator_17,Estimator_18,Estimator_19,Estimator_20,Estimator_21,Estimator_22,Estimator_23,Estimator_24,Estimator_25,Average_Estimator
135,63,127,63,63,63,63,63,255,63,127,127,127,127,127,63,127,127,63,127,255,127,255,127,255,63,121.88
136,63,127,63,63,63,63,63,255,63,127,127,127,127,127,63,127,127,63,255,255,127,255,127,255,63,127
137,63,127,63,63,63,63,63,255,63,127,127,127,127,127,63,127,127,63,255,255,127,255,127,255,63,127
138,63,127,63,63,63,63,63,255,63,127,127,127,127,127,63,127,127,63,255,255,127,255,127,255,63,127
139,63,127,63,63,63,63,63,255,63,127,127,127,127,127,63,127,127,63,255,255,127,255,127,255,63,127
140,63,127,63,63,63,63,63,255,63,127,127,127,127,127,63,127,127,63,255,255,127,255,127,255,63,127
141,63,127,63,63,63,63,63,255,63,127,127,127,127,127,63,127,127,63,255,255,127,255,127,255,63,127
142,63,127,63,63,63,63,63,255,63,127,127,127,127,127,63,127,127,63,511,255,127,255,127,255,63,137.24
143,63,127,63,63,63,63,63,255,63,127,127,127,127,127,63,127,127,63,511,255,127,255,127,255,63,137.24
144,63,127,63,63,63,63,63,255,63,127,127,127,127,127,63,127,127,63,511,255,127,255,127,255,63,137.24
145,63,127,63,63,63,63,63,255,63,127,127,127,127,127,63,127,127,63,511,255,127,255,127,255,63,137.24
146,63,127,63,63,63,63,63,255,63,127,127,127,127,127,63,127,127,63,511,255,127,255,127,255,63,137.24
147,63,127,63,63,63,63,63,255,63,127,127,127,127,127,63,127,127,63,511,255,127,255,127,255,63,137.24
148,63,127,63,63,63,63,63,255,63,127,127,127,127,127,63,127,127,63,511,255,127,255,127,255,63,137.24
149,63,127,63,63,63,63,127,255,63,127,127,127,127,127,63,127,127,63,511,255,127,255,127,255,63,139.8
150,63,127,63,63,63,63,127,255,63,127,127,127,127,127,63,127,127,63,511,255,127,255,127,255,63,139.8
151,63,127,63,63,63,63,127,255,63,127,127,127,127,127,63,127,127,63,511,255,127,255,127,255,63,139.8
152,63,127,63,63,127,63,127,255,63,127,127,127,127,127,63,127,127,63,511,255,127,255,127,255,63,142.36
153,63,127,63,63,127,63,127,255,63,127,127,127,127,127,63,127,127,63,511,255,127,255,127,255,63,142.36
154,63,127,63,63,127,63,127,255,63,127,127,127,127,127,63,127,127,63,511,255,127,255,127,255,63,142.36
155,63,127,63,63,127,63,127,255,63,127,127,127,127,127,63,127,127,63,511,255,127,255,127,255,63,142.36
156,63,127,63,63,127,63,127,255,63,127,127,127,127,127,127,127,127,63,511,255,127,255,127,255,63,144.92
157,63,127,63,63,127,63,127,255,63,127,127,127,127,127,127,127,127,63,511,255,127,255,127,255,63,144.92
158,63,127,63,63,127,63,127,255,63,127,127,127,127,127,127,127,127,63,511,255,127,255,127,255,63,144.92
159,63,127,127,63,127,63,127,255,63,127,127,127,127,127,127,127,127,63,511,255,127,255,127,255,63,147.48
160,63,127,127,63,127,63,127,255,63,127,127,127,127,127,127,127,127,63,511,255,127,255,127,255,63,147.48
161,63,127,127,63,127,63,127,255,63,127,127,127,127,127,127,127,127,63,511,255,127,255,127,255,63,147.48
162,63,127,127,63,127,63,127,255,63,127,127,127,127,127,127,127,127,63,511,255,127,255,127,255,127,150.04
163,63,127,127,63,127,63,127,255,63,127,127,127,127,127,127,127,127,63,511,255,127,255,127,255,127,150.04
164,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,127,63,511,255,127,255,127,255,127,155.16
165,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,127,63,511,255,127,255,127,255,127,155.16
166,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,127,63,511,255,127,255,127,255,127,155.16
167,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,127,63,511,255,127,255,127,255,127,155.16
168,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,127,63,511,255,127,255,127,255,127,155.16
169,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,127,63,511,255,127,255,127,255,127,155.16
170,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,127,63,511,255,127,255,127,255,127,155.16
171,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,127,63,511,255,127,255,127,255,127,155.16
172,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,127,63,511,255,127,511,127,255,127,165.4
173,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,127,63,511,255,127,511,127,255,127,165.4
174,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,127,63,511,255,127,511,127,255,127,165.4
175,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,127,63,511,255,127,511,127,255,127,165.4
176,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,127,63,511,255,127,511,127,255,127,165.4
177,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,127,63,511,255,127,511,127,255,127,165.4
178,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,127,63,511,255,127,511,127,255,127,165.4
179,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,127,63,511,255,127,511,127,255,127,165.4
180,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,127,63,511,255,127,511,127,255,127,165.4
181,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,127,63,511,255,127,511,127,255,127,165.4
182,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,127,63,511,255,127,511,127,255,127,165.4
183,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,127,63,511,255,127,511,127,255,127,165.4
184,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,127,63,511,255,127,511,127,255,127,165.4
185,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,127,63,511,255,127,511,127,255,127,165.4
186,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,127,63,511,255,127,511,127,255,255,170.52
187,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,127,63,511,255,127,1023,127,255,255,191
188,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,127,63,511,255,127,1023,127,255,255,191
189,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,255,63,511,255,127,1023,127,255,255,196.12
190,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,255,63,511,255,127,1023,127,255,255,196.12
