Exact_Count,Estimator_1,Estimator_2,Estimator_3,Estimator_4,Estimator_5,Estimator_6,Estimator_7,Estimator_8,Estimator_9,Estimator_10,Estimator_11,Estimator_12,Estimator_13,Estimator_14,Estimator_15,Estimator_16,Estimator_17,Estimator_18,Estimator_19,Estimator_20,Estimator_21,Estimator_22,Estimator_23,Estimator_24,Estimator_25,Estimator_26,Estimator_27,Estimator_28,Estimator_29,Estimator_30,Estimator_31,Estimator_32,Estimator_33,Estimator_34,Estimator_35,Estimator_36,Estimator_37,Estimator_38,Estimator_39,Estimator_40,Estimator_41,Estimator_42,Estimator_43,Estimator_44,Estimator_45,Estimator_46,Estimator_47,Estimator_48,Estimator_49,Estimator_50,Average_Estimator
99,127,63,255,31,63,63,255,63,63,127,63,31,31,63,127,63,63,63,255,63,127,31,127,63,127,127,127,63,31,63,63,63,127,63,31,63,127,127,127,255,31,63,31,127,31,63,31,31,63,255,91.8
100,127,63,255,31,63,63,255,63,63,127,63,31,31,63,127,63,63,63,255,63,127,31,127,63,127,127,127,63,31,63,63,63,127,63,31,63,127,127,127,255,31,63,31,127,31,63,31,31,63,255,91.8
101,127,63,255,31,63,63,255,63,63,127,63,31,31,63,127,63,63,63,255,63,255,31,127,63,127,127,127,63,31,63,63,63,127,63,31,63,127,127,127,255,31,63,31,127,31,63,31,31,63,255,94.36
102,127,63,255,31,63,63,255,63,63,127,63,31,31,63,127,63,63,63,255,63,255,31,127,63,127,127,127,63,31,63,63,63,127,63,31,63,127,127,127,255,31,63,31,127,31,63,31,31,63,255,94.36
103,127,63,255,31,63,63,255,63,63,127,63,31,31,63,127,63,63,63,255,63,255,31,127,63,127,127,127,63,31,63,63,63,127,63,31,63,127,127,127,255,31,63,31,127,31,63,31,63,63,255,95
104,127,63,255,31,63,63,255,63,127,127,63,31,31,63,127,63,63,63,255,63,255,31,127,63,127,127,127,63,31,63,63,63,127,127,31,63,127,127,127,255,31,63,31,127,31,63,31,63,63,255,97.56
105,127,63,255,31,63,63,255,63,127,127,63,31,31,63,127,63,63,63,255,63,255,31,127,63,127,127,127,63,31,63,63,63,127,127,31,63,127,127,127,255,63,63,31,127,31,63,31,63,63,255,98.2
106,127,63,255,31,63,63,255,63,127,127,63,31,31,63,127,63,63,63,255,63,255,31,127,63,127,127,127,63,31,63,63,63,127,127,31,63,127,127,127,255,63,63,31,127,31,63,63,63,63,255,98.84
107,127,63,255,31,63,63,255,63,127,127,63,31,31,63,127,63,63,63,255,63,255,31,127,63,127,127,127,63,31,63,63,63,127,127,31,63,127,127,127,255,63,63,31,127,31,63,63,63,63,255,98.84
108,127,63,255,31,63,63,255,63,127,127,63,31,31,63,127,63,63,63,255,63,255,31,127,63,127,127,127,63,31,63,63,63,127,127,31,63,127,127,127,255,63,63,31,127,31,63,63,63,63,255,98.84
109,127,63,255,31,63,63,255,63,127,127,63,31,31,63,127,63,63,63,255,63,255,31,127,127,127,127,127,63,31,63,63,63,127,127,31,63,127,127,127,255,63,63,31,127,31,63,63,63,63,255,100.12
110,127,63,255,31,63,63,255,63,127,127,63,31,31,63,127,63,63,63,255,63,255,31,127,127,127,127,127,63,31,63,63,63,127,127,31,63,127,127,127,255,63,63,31,127,31,63,63,63,63,255,100.12
111,127,63,255,63,63,63,255,63,127,127,63,31,31,63,127,63,63,63,255,63,255,31,127,127,127,127,127,63,31,63,63,63,127,127,31,63,127,127,127,255,63,63,31,127,31,63,63,63,63,255,100.76
112,127,63,255,63,63,63,255,63,127,127,63,31,31,63,127,63,63,63,255,63,255,31,127,127,127,127,127,63,31,63,63,63,127,255,31,63,127,127,127,255,63,63,31,127,31,63,63,63,63,255,103.32
113,127,63,255,127,63,63,255,63,127,127,63,31,31,63,127,63,63,63,255,63,255,31,127,127,127,127,127,63,31,63,127,63,127,255,31,63,127,127,127,255,63,63,31,127,31,63,63,63,63,255,105.88
114,127,63,255,127,63,63,255,63,127,127,63,31,31,63,127,63,63,63,255,63,255,31,127,127,127,127,127,63,31,63,127,63,127,255,31,63,127,127,127,255,63,63,31,127,31,63,63,127,63,255,107.16
